danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.936,0.887,-2.76,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,2HYFX63wP3otVIvopRS99Z,227239,Houdini
0.908,0.669,-2.827,0.0738,0.00286,0,0.237,0.662,112.238,7lQ8MOhq6IN2w8EYcFNSUk,290320,Without Me
0.637,0.678,-3.798,0.266,0.209,0,0.156,0.254,84.039,561jH07mF1jHuk7KlaeF0s,250760,Mockingbird
0.548,0.847,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,4xkOaSrkexMciUUogZKVTS,297787,Till I Collapse
0.949,0.661,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,3yfqSUWxFvZELEM4PmlwIR,284200,The Real Slim Shady
0.885,0.662,-5.139,0.142,0.121,0,0.109,0.117,137.981,5In8B6Om5OKrhwBMB4tXSi,213646,Fuel
0.808,0.745,-5.26,0.342,0.145,0,0.292,0.829,165.995,7FIWs0pqAYbP91WWM0vlTQ,210800,Godzilla (feat. Juice WRLD)
0.939,0.741,-5.171,0.0471,0.323,0,0.107,0.925,118.978,2kQuhkFX7uSVepCD3h29g5,212360,Smack That
0.802,0.755,-3.138,0.0564,0.0215,0,0.295,0.58,130.027,4woTEX1wYOTGDqNXuavlRC,350320,Superman
0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,3UmaczJpikHgJFyBTAJVoz,404107,Stan
0.855,0.954,-1.19,0.264,0.529,0,0.205,0.668,114.635,7Ie9W94M7OjPoZVV216Xus,248133,Not Afraid
0.709,0.843,-2.66,0.314,0.395,0,0.799,0.625,148.134,6or1bKJiZ06IlK0vFvY75k,363521,Rap God
0.749,0.925,-5.034,0.227,0.241,0,0.52,0.641,86.989,15JINEqzVMv3SvJTAXAKED,263373,Love The Way You Lie
0.689,0.735,-4.545,0.267,0.00922,0.00072,0.365,0.059,171.403,7MJQ9Nfxzh8LPZ9e9u68Fq,320627,Lose Yourself
0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596,171.355,1v7L65Lzy0j0vdpRjJewt1,322227,Lose Yourself
0.784,0.522,-7.057,0.155,0.0913,2.43e-05,0.139,0.436,95.047,4lsNo2CCp2dUbsuOmdCj5I,146573,2000
0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,75IN3CtuZwTHTnZvYM4qnJ,268400,My Name Is
0.936,0.878,-2.798,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,1CDQzbCz4KSQxHe7LMEgRM,227032,Houdini
