,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0,0.936,0.887,-2.76,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,227239,2,2HYFX63wP3otVIvopRS99Z,Houdini
1,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,1,7lQ8MOhq6IN2w8EYcFNSUk,Without Me
2,0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760,2,561jH07mF1jHuk7KlaeF0s,Mockingbird
3,0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,1,4xkOaSrkexMciUUogZKVTS,Till I Collapse
4,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,1,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady
5,0.885,0.662,-5.139,0.142,0.121,0.0,0.109,0.117,137.981,213646,2,5In8B6Om5OKrhwBMB4tXSi,Fuel
6,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,210800,0,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD)
7,0.939,0.741,-5.171,0.0471,0.323,0.0,0.107,0.925,118.978,212360,0,2kQuhkFX7uSVepCD3h29g5,Smack That
8,0.802,0.755,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,1,4woTEX1wYOTGDqNXuavlRC,Superman
9,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,3,3UmaczJpikHgJFyBTAJVoz,Stan
10,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,248133,2,7Ie9W94M7OjPoZVV216Xus,Not Afraid
11,0.709,0.843,-2.66,0.314,0.395,0.0,0.799,0.625,148.134,363521,1,6or1bKJiZ06IlK0vFvY75k,Rap God
12,0.749,0.925,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,263373,2,15JINEqzVMv3SvJTAXAKED,Love The Way You Lie
