,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster,id,names
0,0.513,0.868,-5.061,0.041,0.0185,0.0,0.121,0.367,92.009,230467,1,1VU8t2MpJRLG5iFEIxqq7z,Geboren um zu leben
1,0.646,0.359,-10.388,0.155,0.247,0.914,0.0872,0.154,119.885,360147,5,4YRvb9B8cgvhst11qk8CKn,Sonnentanz
2,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,0,7qiZfU4dY1lWllzX7mPBI3,Shape of You
3,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,2,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind
4,0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,228093,1,4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep
5,0.655,0.797,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,229360,1,6habFhsOp2NvshLv26DqMb,Despacito
6,0.591,0.176,-11.692,0.0396,0.638,4.81e-06,0.252,0.296,152.122,299147,5,1f1wT6Q7Buxb3OD0BqMW8O,"I See Fire - From ""The Hobbit - The Desolation Of Smaug"""
7,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560,0,3U4isOIWM3VvDubwSI3y7a,All of Me
8,0.577,0.385,-6.362,0.03,0.371,0.0,0.231,0.331,95.82,215733,1,2VxeLyX666F8uXCJ0dZF8B,Shallow
9,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,263400,0,0tgVpDi06FyKpA1z0VMD4v,Perfect
10,0.659,0.873,-5.349,0.1,0.0435,0.0,0.379,0.621,106.017,202320,1,1ZMODMeLK5x6W8r8jsmmgX,Au Revoir (feat. Sido)
11,0.63,0.886,-4.615,0.0406,0.011,0.0,0.0697,0.897,127.96,240600,0,6dXt4t5jgySnVTeTpT4C0l,Auf uns
12,0.67,0.696,-4.935,0.0294,0.0857,8.09e-05,0.0939,0.312,97.021,268427,0,2lYsCjTvXIHOqT8xSbK2jq,Tage wie diese
13,0.729,0.542,-7.671,0.0844,0.0262,5.22e-06,0.211,0.52,127.995,210573,1,0lKyMPBRuIDCX56NORu5NZ,Die immer lacht - Radio 2016 Mix
14,0.639,0.614,-9.448,0.0317,0.0681,0.0878,0.0882,0.652,121.973,210333,1,7bolFIVYrui4h98GEK0MIK,Geiles Leben
15,0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.071,241688,0,3dYD57lRAUcMHufyqn9GcI,Take Me To Church
16,0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720,0,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2"""
17,0.862,0.671,-6.576,0.0995,0.258,0.00274,0.0744,0.82,115.952,237053,0,7DFSnCBYlus7i4U9KKlbdU,No Roots
18,0.793,0.688,-4.216,0.0328,0.079,0.0604,0.145,0.221,120.058,242773,0,2IxixfQUSQkwCCblJT3Eq1,Heavy Cross
19,0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.02,180566,2,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader (Felix Jaehn Remix) - Radio Edit
20,0.764,0.887,-6.088,0.176,0.00987,0.0,0.0585,0.816,126.974,202467,1,2RB1n3NWUmG5X0rdihAQ3e,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
21,0.763,0.608,-8.1,0.035,0.262,2.5e-05,0.12,0.394,121.02,138013,4,4255amV4enzl28KAn16rUO,Are You with Me
22,0.792,0.329,-12.906,0.0593,0.6,0.857,0.193,0.526,127.02,230500,1,3ZSqMer9RLSglvi18bWXYV,Sky and Sand
23,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,0,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph
24,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,1,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug)
25,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,0,0nrRP2bk19rLc0orkWPQk2,Wake Me Up
26,0.599,0.533,-14.032,0.0472,0.475,0.00153,0.235,0.607,122.262,228467,1,3WlVUkLgGYByiGj8gF4erq,I Follow Rivers
27,0.749,0.589,-5.032,0.26,0.0279,0.000217,0.0396,0.814,128.003,191091,1,2CbuG4ib5Wg5q8AEhVgll7,Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit
28,0.604,0.822,-4.833,0.0438,0.00672,0.134,0.147,0.288,167.997,187147,2,1zB4vmk8tFRmM9UULNzbLB,Thunder
29,0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,1,5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit
30,0.707,0.87,-3.617,0.0669,0.0593,0.0,0.205,0.809,125.956,229933,1,4icNLSquKZp6e0iEkBn9RP,Glow - Radio Edit
31,0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974,0,3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain
32,0.322,0.28,-9.367,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467,0,0eZBeB2xFIS65jQHerispi,The Sound of Silence
33,0.78,0.568,-6.96,0.031,0.668,0.000168,0.0698,0.459,117.973,186147,2,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)
34,0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,0,1I8tHoNBFTuoJAlh4hfVVE,Firestone
35,0.671,0.153,-13.569,0.0404,0.912,5.53e-05,0.0771,0.658,85.6,211933,1,4yDjzVhXig9tfO7Zv46FE8,Over the Rainbow
36,0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,187436,2,7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho
37,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161,2,7qEHsqek33rTcFNT9PFqLf,Someone You Loved
38,0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,190947,1,1rqqCSm0Qe4I9rUvWncaom,High Hopes
39,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,0,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton)
40,0.733,0.897,-3.652,0.0389,0.0391,0.0,0.117,0.649,96.006,173800,2,0mlAOSILGRys2IbvyOT5VJ,Échame La Culpa
41,0.758,0.686,-6.346,0.0792,0.0848,0.00133,0.142,0.444,130.008,230907,1,0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit
42,0.782,0.393,-12.423,0.0343,0.389,0.00915,0.0954,0.598,116.977,237858,0,5RfxjgQMne0dRNiORcLtMg,Wolke 4
43,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,0,6RUKPb4LETWmmr3iAEQktW,Something Just Like This
44,0.75,0.736,-4.168,0.155,0.0202,0.0,0.265,0.355,130.011,262147,0,7mitXLIMCflkhZiD34uEQI,Party Rock Anthem
45,0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,208133,1,1HFfMOxCAT4GAwaPfCdmUs,Waves - Robin Schulz Radio Edit
46,0.79,0.593,-9.204,0.0776,0.0983,0.00202,0.065,0.72,119.958,206067,1,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit
47,0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,0,1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz)
48,0.782,0.58,-6.548,0.0407,0.0114,2.28e-06,0.108,0.66,120.021,193400,1,20I6sIOMTCkB6w7ryavxtO,Call Me Maybe
49,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,2,2YWjW3wwQIBLNhxWKBQd16,Lean On (feat. MØ & DJ Snake)
50,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063,219043,1,5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates)
51,0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.087,200187,1,5LLRo6dCGxg4PZmtSqNzrZ,Human
52,0.862,0.515,-6.897,0.0368,0.545,0.000153,0.0899,0.696,129.044,244893,0,6md4w95cnKaW64JyEQ3A0L,Somebody That I Used To Know
53,0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263827,0,0n4bITAu0Y0nigrz3MFJMb,Blurred Lines
54,0.584,0.889,-5.941,0.0343,0.0462,0.828,0.309,0.464,126.04,199907,1,5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit
55,0.665,0.662,-6.874,0.271,0.171,0.0,0.0831,0.381,149.976,238213,0,0pQr5WsobmdZHnuObT0sc2,Astronaut
56,0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107,1,698ItKASDavgwZ3WjaWjtz,Faded
57,0.675,0.868,-6.36,0.0392,0.00107,0.715,0.374,0.0376,128.007,304229,5,0A9mHc7oYUoCECqByV8cQR,Animals
58,0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,0,4bzBPrGYD3fQfAadLgIiwT,Let Her Go
59,0.65,0.946,-5.326,0.0981,0.223,0.0,0.979,0.669,96.033,170493,2,29vem0DsWK4224LQyxcmA5,Ai Se Eu Te Pego
60,0.773,0.849,-8.345,0.0587,0.057,0.0103,0.397,0.913,119.981,192227,1,00vk0sEfb6mr2ehwSw0Uhn,Don't Be So Shy - Filatov & Karas Remix
61,0.885,0.508,-6.444,0.0518,0.244,0.0,0.114,0.846,102.071,191373,1,0Wq6whEjKeAAUi4nEim1DA,Nur noch kurz die Welt retten
62,0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.039,283400,0,2iJuuzV8P9Yz0VSurttIV5,Scream & Shout
